author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,recording_length
Edward B. Knobel,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
the Government of the State of Wyoming,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
William McCullagh Torrens,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
United States District Court for the Middle District of North Carolina,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
James Clark Ross,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Thomas Allnutt Brassey,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Henry Charles Moore,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Gilbert Keith Chesterton,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Charles Scarborough,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Elizabeth Blackwell,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Philip Dearman Mennell,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Clarence Walker Barron,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Kofi Annan,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
John Carey Cremony,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Francis Joseph Christopher Sheehy-Skeffington,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Alexander Hamilton,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Zephaniah Walter Pease,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Willis Fletcher Johnson,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
the Parliament of the United Kingdom,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Sarah Moore Grimké,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Rudolf Daniel Ludwig Cronau,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
William Duguid Geddes,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Edward James Nolan,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Anthony Benezet,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
John Brown,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Clarence Seward Darrow,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Theodore Dwight Weld,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Thomas Carlyle,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
William Sidney Smith,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Sydney Smith,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Charles Beadle,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Andrew Jackson,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Parliament of the United Kingdom,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Stephen Godwin,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
UK Secretary of State for the Colonies,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Edvard Beneš,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Doane Robinson,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Arthur Penrhyn Stanley,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Tthe Association for Founding the Settlement of Canterbury in New Zealand,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Richard Launcelot Maury,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
United Nations,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Frederick Van Voorhies Holman,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Thomas Brassey,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Elma MacGibbon,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Gilbert Keith Chesterton,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
the United Nations,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Thomas Wallace Knox,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Thomas Storrow Brown,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Bernadotte Perrin,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,5,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Lichfield Society,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
United States District Court for the Southern District of New York,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Alfred Thayer Mahan,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
John Bagnell Bury,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
William Holman Hunt,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Hypatia Bradlaugh Bonner,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Henry William Harper,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Richard James Cheeswright,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
William Le Queux,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Charles Alan Fyffe,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Margaret Oliphant,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
John Newton,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Margaret Bertha Synge,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Oliver Joseph Lodge,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Pearson Hill,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Various authors,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Supreme Court of India,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Henry Anson Castle,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Clara Lucas Balfour,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Chris Dodd,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Edward Stratemeyer,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Jeremy Bentham,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Antonio M. Taguba,NaN,ספר דיגיטלי,Good Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 8 בדצמבר 2020",NaN
Scott M. Burnstein,קריינות: Charles Constant,ספר מוקלט,Tantor Audio,2021,היסטוריה,3.83,אנגלית,"תאריך פרסום
ספר מוקלט: 9 במרץ 2021",10שעות 31דקות
John Fabian Witt,קריינות: Mike Chamberlain,ספר מוקלט,Tantor Audio,2021,היסטוריה,0,אנגלית,"תאריך פרסום
ספר מוקלט: 16 בפברואר 2021",2שעות 55דקות
Graham K. Bell,קריינות: Patrick Lawlor,ספר מוקלט,Tantor Audio,2021,היסטוריה,3.44,אנגלית,"תאריך פרסום
ספר מוקלט: 23 במרץ 2021",3שעות 55דקות
Michael F. Rizzo,קריינות: Danny Campbell,ספר מוקלט,Tantor Audio,2021,היסטוריה,0,אנגלית,"תאריך פרסום
ספר מוקלט: 6 באפריל 2021",6שעות 7דקות
Bob Calhoun,קריינות: Keith Sellon-Wright,ספר מוקלט,Tantor Audio,2021,היסטוריה,3,אנגלית,"תאריך פרסום
ספר מוקלט: 4 במאי 2021",10שעות 9דקות
Orlando Patterson,קריינות: Bill Andrew Quinn,ספר מוקלט,Tantor Audio,2022,היסטוריה,5,אנגלית,"תאריך פרסום
ספר מוקלט: 19 ביולי 2022",18שעות 4דקות
Graham Seal,קריינות: Nigel Patterson,ספר מוקלט,Tantor Audio,2021,היסטוריה,5,אנגלית,"תאריך פרסום
ספר מוקלט: 18 במאי 2021",10שעות 5דקות
Jim Stempel,קריינות: Malcolm Hillgartner,ספר מוקלט,Tantor Audio,2021,היסטוריה,3,אנגלית,"תאריך פרסום
ספר מוקלט: 9 במרץ 2021",10שעות 18דקות
Varios Autores,NaN,ספר דיגיטלי,LOM Ediciones,2020,היסטוריה,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 2 בדצמבר 2020",NaN
Charlie English,קריינות: Crawford Logan,ספר מוקלט,William Collins,2021,היסטוריה,4,אנגלית,"תאריך פרסום
ספר מוקלט: 5 באוגוסט 2021",9שעות
Carl von Clausewitz,קריינות: Wanda McCaddon,ספר מוקלט,Blackstone Publishing,2009,היסטוריה,3.57,אנגלית,"תאריך פרסום
ספר מוקלט: 13 במרץ 2009",11שעות 27דקות
Charles River Editors,קריינות: Daniel Houle,ספר מוקלט,Charles River Editors,2020,היסטוריה,5,אנגלית,"תאריך פרסום
ספר מוקלט: 10 בדצמבר 2020",2שעות 26דקות
Graeme Stroud,NaN,ספר דיגיטלי,Sonicbond Publishing,2020,היסטוריה,3,אנגלית,"תאריך פרסום
ספר דיגיטלי: 10 בדצמבר 2020",NaN
Joseph Plumb Martin,קריינות: Brandon Wright,ספר מוקלט,Author's Republic,2020,היסטוריה,4,אנגלית,"תאריך פרסום
ספר מוקלט: 13 בנובמבר 2020",9שעות 11דקות
Caroline Foulk,NaN,ספר דיגיטלי,Medina Publishing,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 11 בדצמבר 2020",NaN
William Henry Hurlbert,NaN,ספר דיגיטלי,e-artnow,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 11 בדצמבר 2020",NaN
Thomas Babington Macaulay,NaN,ספר דיגיטלי,e-artnow,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 11 בדצמבר 2020",NaN
Julius Caesar,קריינות: Robert Brinkman,ספר מוקלט,InAudio,2021,היסטוריה,4.6,אנגלית,"תאריך פרסום
ספר מוקלט: 5 בינואר 2021",16שעות 28דקות
Charles River Editors,קריינות: Daniel Houle,ספר מוקלט,Charles River Editors,2020,היסטוריה,3,אנגלית,"תאריך פרסום
ספר מוקלט: 7 באוקטובר 2020",2שעות 10דקות
Dirk Liesemer,קריינות: Heinz Bergner,ספר מוקלט,Hierax Medien,2020,היסטוריה,4,גרמנית,"תאריך פרסום
ספר מוקלט: 10 בנובמבר 2020",7שעות 2דקות
Sally Coulthard,קריינות: Deirdra Whelan,ספר מוקלט,W. F. Howes Ltd,2021,היסטוריה,4.25,אנגלית,"תאריך פרסום
ספר מוקלט: 28 בינואר 2021",2שעות 13דקות
Michael Rosen,קריינות: Michael Rosen,ספר מוקלט,W. F. Howes Ltd,2021,היסטוריה,5,אנגלית,"תאריך פרסום
ספר מוקלט: 28 בינואר 2021",1שעות 29דקות
Antonia Fraser,קריינות: Julia Franklin,ספר מוקלט,W. F. Howes Ltd,2007,היסטוריה,0,אנגלית,"תאריך פרסום
ספר מוקלט: 1 ביוני 2007",14שעות 19דקות
Tacitus,קריינות: David Timson,ספר מוקלט,Naxos Audiobooks,2020,היסטוריה,4.75,אנגלית,"תאריך פרסום
ספר מוקלט: 13 בדצמבר 2020",18שעות 11דקות
John Reed,קריינות: Adam Sims,ספר מוקלט,Naxos Audiobooks,2020,היסטוריה,4.17,אנגלית,"תאריך פרסום
ספר מוקלט: 13 בדצמבר 2020",10שעות 21דקות
Mary McAuliffe,קריינות: Tim H. Dixon,ספר מוקלט,Rowman & Littlefield Publishers,2020,היסטוריה,4,אנגלית,"תאריך פרסום
ספר מוקלט: 15 במאי 2020",12שעות 34דקות
Yirla Marisol Acosta Franco,NaN,ספר דיגיטלי,Universidad de Antioquia. Facultad de Ciencias Sociales y Humanas,2020,היסטוריה,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 15 ביוני 2020",NaN
Cecilia Martínez,NaN,ספר דיגיטלי,TRESNUBES EDICIONES,2020,היסטוריה,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 14 בדצמבר 2020",NaN
Ernest F. Henderson,NaN,ספר דיגיטלי,Hesperides Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בדצמבר 2020",NaN
Kafir .,קריינות: Maciej Więckowski,ספר מוקלט,Bellona,2020,היסטוריה,4.66,פולנית,"תאריך פרסום
ספר מוקלט: 14 בדצמבר 2020",8שעות 16דקות
Stefan Zweig,NaN,ספר דיגיטלי,mehrbuch,2020,היסטוריה,0,גרמנית,"תאריך פרסום
ספר דיגיטלי: 27 בדצמבר 2020",NaN
Rana Mitter,קריינות: Dennis Kleinman,ספר מוקלט,Blackstone Publishing,2020,היסטוריה,3.5,אנגלית,"תאריך פרסום
ספר מוקלט: 15 בדצמבר 2020",8שעות 37דקות
S Cohen,קריינות: Andrea Casagrande,ספר מוקלט,Stephen Cohen,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר מוקלט: 11 באוקטובר 2020",1שעות 44דקות
Ali H. Soufan,קריינות: Fajer Al-Kaisi,ספר מוקלט,Blackstone Publishing,2020,היסטוריה,4.85,אנגלית,"תאריך פרסום
ספר מוקלט: 15 בדצמבר 2020",19שעות 14דקות
Victor Ronquillo,NaN,ספר דיגיטלי,Editorial Universidad de Guadalajara,2020,היסטוריה,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 15 בדצמבר 2020",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,Nuestra América Editorial,2020,היסטוריה,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 14 בדצמבר 2020",NaN
Luis Martín Ulloa,NaN,ספר דיגיטלי,Editorial Universidad de Guadalajara,2020,היסטוריה,5,ספרדית,"תאריך פרסום
ספר דיגיטלי: 15 בדצמבר 2020",NaN
Javier Rodríguez Sabadell,NaN,ספר דיגיטלי,Letrame Grupo Editorial,2020,היסטוריה,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 3 בדצמבר 2020",NaN
Gilbert Keith Chesterton,NaN,ספר דיגיטלי,Espuela de Plata,2017,היסטוריה,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 21 בפברואר 2017",NaN
Josep Antoni Pozo González,NaN,ספר דיגיטלי,Espuela de Plata,2017,היסטוריה,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 21 בפברואר 2017",NaN
Alexandre Dumas,NaN,ספר דיגיטלי,Espuela de Plata,2017,היסטוריה,1,ספרדית,"תאריך פרסום
ספר דיגיטלי: 21 בפברואר 2017",NaN
Antonio Ansuátegui,NaN,ספר דיגיטלי,Espuela de Plata,2017,היסטוריה,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 21 בפברואר 2017",NaN
Diego Navarro Bonilla,NaN,ספר דיגיטלי,Espuela de Plata,2017,היסטוריה,0,ספרדית,"תאריך פרסום
ספר דיגיטלי: 21 בפברואר 2017",NaN
אני רוצה לנסות!,NaN,ספר דיגיטלי,University of Virginia Press,2021,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 5 בפברואר 2021",NaN
Frederick Trevor Hill,קריינות: William Dupuy,ספר מוקלט,William Dupuy,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר מוקלט: 21 באוקטובר 2020",5שעות 53דקות
Roger Peyere,קריינות: Roch Siemianowski,ספר מוקלט,Łukasz Tomys Publishing,2020,היסטוריה,4.49,פולנית,"תאריך פרסום
ספר מוקלט: 25 בדצמבר 2020",17שעות 7דקות
Ferdinand Tuohy,NaN,ספר דיגיטלי,Last Post Press,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בדצמבר 2020",NaN
The Art History Babes,NaN,ספר דיגיטלי,Frances Lincoln,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 1 בספטמבר 2020",NaN
Fred Moten,קריינות: Leon Nixon,ספר מוקלט,Tantor Audio,2022,היסטוריה,0,אנגלית,"תאריך פרסום
ספר מוקלט: 8 בפברואר 2022",14שעות 31דקות
Brent L. Sterling,קריינות: Sean Runnette,ספר מוקלט,Tantor Audio,2021,היסטוריה,0,אנגלית,"תאריך פרסום
ספר מוקלט: 9 במרץ 2021",12שעות 33דקות
Gary Mead,קריינות: Tom Perkins,ספר מוקלט,Tantor Audio,2021,היסטוריה,4,אנגלית,"תאריך פרסום
ספר מוקלט: 11 במאי 2021",17שעות 17דקות
John Bodnar,קריינות: David Colacci,ספר מוקלט,Tantor Audio,2021,היסטוריה,5,אנגלית,"תאריך פרסום
ספר מוקלט: 24 במאי 2021",13שעות 24דקות
H. Glenn Penny,NaN,ספר דיגיטלי,Princeton University Press,2021,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 15 ביוני 2021",NaN
John Hossack,NaN,ספר דיגיטלי,Musaicum Books,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 17 בדצמבר 2020",NaN
Henning Tümmers,NaN,ספר דיגיטלי,Kohlhammer Verlag,2020,היסטוריה,0,גרמנית,"תאריך פרסום
ספר דיגיטלי: 16 בדצמבר 2020",NaN
Ann-Katrin Fett,NaN,ספר דיגיטלי,Kohlhammer Verlag,2020,היסטוריה,0,גרמנית,"תאריך פרסום
ספר דיגיטלי: 16 בדצמבר 2020",NaN
Lady Anne Blunt,NaN,ספר דיגיטלי,e-artnow,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 18 בדצמבר 2020",NaN
J.F.C. Hecker,NaN,ספר דיגיטלי,e-artnow,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 18 בדצמבר 2020",NaN
Vernon Lee,NaN,ספר דיגיטלי,e-artnow,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 18 בדצמבר 2020",NaN
J. H. Ingraham,NaN,ספר דיגיטלי,e-artnow,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר דיגיטלי: 18 בדצמבר 2020",NaN
David Serero,קריינות: David Serero,ספר מוקלט,David Serero,2020,היסטוריה,0,אנגלית,"תאריך פרסום
ספר מוקלט: 23 באוקטובר 2020",1שעות 28דקות
