book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,days_from_release,recording_minutes,recording_hours
חבורת כוח המוח (25) מסך שבור,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.7,Hebrew,2021-03-29,795,57.0,1.0
חבורת כוח המוח (5) וטבעת המזל,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.6,Hebrew,2021-03-29,795,44.0,1.0
חבורת כוח המוח (9) וההצגה הגדולה,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-03-29,795,39.0,1.0
חבורת כוח המוח (8) והמסיבה המדליקה,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.89,Hebrew,2021-03-29,795,1.0,2.0
יד הפלא (1) הסוד מתגלה,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.65,Hebrew,2021-03-29,795,32.0,1.0
יד הפלא (7) על רגל אחת,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.33,Hebrew,2021-03-29,795,57.0,1.0
יד הפלא (9) הפרעת כשף,זוהר אביב, ציפי מור,Aoudio book,Storyside,2021.0,Kids,4.62,Hebrew,2021-03-29,795,18.0,2.0
פיטר פן,ג'יימס מת'יו בארי, רמי ברוך,Aoudio book,Storyside,2021.0,Kids,4.12,Hebrew,2021-03-29,795,35.0,0.0
הבית בעמק שוקו,שלומית כהן-אסיף, ניקו בר ושלומית כהן אסיף,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,795,9.0,0.0
הגשם של סבא אהרון,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.26,Hebrew,2021-04-27,766,15.0,0.0
מי רוצה שק-קמח?,דויד גרוסמן, תמר עמית-יוסף,Aoudio book,Storyside,2021.0,Kids,3.91,Hebrew,2021-04-27,766,6.0,0.0
קרמר החתול לומד לשחות,מאיר שלו, איל קיציס,Aoudio book,Storyside,2021.0,Kids,4.66,Hebrew,2021-05-03,760,5.0,0.0
רוני ונומי והדב יעקב,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.38,Hebrew,2021-05-03,760,8.0,0.0
האח החדש של איתמר,דויד גרוסמן, דליה שימקו,Aoudio book,Storyside,2021.0,Kids,4.4,Hebrew,2021-05-03,760,6.0,0.0
מגדל של נמלים,נעמי בן-גור, ציפי מור,Aoudio book,Storyside,2021.0,Kids,3.5,Hebrew,2021-10-05,605,9.0,0.0
לא תשיג אותי,יונה טפר, שירלי סומק ויובל רז,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-05-28,735,6.0,0.0
באושר ועושר כאילו... (4) חלומות מתוקים,שרה מלינובסקי, אלינור אהרון בן-אבי,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-06-19,713,59.0,2.0
הנסיך האמיץ,ציון זכאי, חן גבעתי,Aoudio book,Storyside,2021.0,Kids,3.5,Hebrew,2021-06-20,712,10.0,0.0
כראמל (2) הנקמה,מאירה ברנע גולדברג, תומר שרון,Aoudio book,Storyside,2021.0,Kids,4.68,Hebrew,2021-06-19,713,39.0,4.0
אלרגיה: סיפור ילדות,יהונתן גפן, שרון ליפקינד,Aoudio book,Storyside,2021.0,Kids,4.8,Hebrew,2021-10-09,601,25.0,1.0
אייזיק ניוטון הקטן,יורם טהרלב, יורם טהרלב,Aoudio book,Storyside,2021.0,Kids,4.14,Hebrew,2021-07-25,677,5.0,0.0
בא לי,רוני חפר, רוני חפר,Aoudio book,Storyside,2021.0,Kids,4.62,Hebrew,2021-09-19,621,7.0,0.0
קופיף מעצבן,שושנה ויג, שושנה ויג,Aoudio book,Storyside,2021.0,Kids,4.0,Hebrew,2021-08-09,662,5.0,0.0
כראמל (3) נער החידות,מאירה ברנע גולדברג, תומר שרון,Aoudio book,Storyside,2021.0,Kids,4.69,Hebrew,2021-08-09,662,32.0,6.0
אבא עושה קוקיות,כרמי חוסטצקי משיח, ריקי בליך,Aoudio book,Storyside,2021.0,Kids,4.34,Hebrew,2021-09-01,639,9.0,0.0
כראמל (4) האוצר הצהוב,מאירה ברנע גולדברג, תומר שרון,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-09-26,614,6.0,0.0
הרפתקאות דוד אריה באוקינוס הטיבטי,ינץ לוי, ינץ לוי,Aoudio book,Storyside,2021.0,Kids,4.78,Hebrew,2021-10-05,605,27.0,1.0
הרפתקאות דוד אריה בג'ונגל הסיבירי,ינץ לוי, ינץ לוי,Aoudio book,Storyside,2021.0,Kids,4.8,Hebrew,2021-10-05,605,1.0,1.0
הרפתקאות דוד אריה במדבר השוויצרי,ינץ לוי, ינץ לוי,Aoudio book,Storyside,2021.0,Kids,4.86,Hebrew,2021-10-05,605,8.0,1.0
הרפתקאות דוד אריה ביערות הסהרה,ינץ לוי, ינץ לוי,Aoudio book,Storyside,2021.0,Kids,4.51,Hebrew,2021-10-05,605,16.0,1.0
הדינוזאור של דודו,רחלי פליישון, רחלי פליישון,Aoudio book,Storyside,2022.0,Kids,4.19,Hebrew,2022-01-23,495,5.0,0.0
מנהרת הזמן (29): משפט דרייפוס,גלילה רון פדר עמית, אילת פוזניאק,Aoudio book,Storyside,2022.0,Kids,5.0,Hebrew,2022-02-15,472,30.0,1.0
מנהרת הזמן (73): הפיראט היהודי,גלילה רון פדר עמית, נועה זוהר,Aoudio book,Storyside,2022.0,Kids,4.5,Hebrew,2022-02-15,472,28.0,1.0
יש נסיכות עם משקפיים,תמר בן אביר, עדי לב,Aoudio book,Storyside,2022.0,Kids,4.2,Hebrew,2022-05-08,390,8.0,0.0
"Big Nate: Thunka, Thunka, Thunka",Lincoln Peirce,No announcer,Digital bookי,Andrews McMeel Publishing,2016.0,Kids,4.91,English,2016-03-01,2649,0.0,0.0
Big Nate: Great Minds Think Alike,Lincoln Peirce,No announcer,Digital bookי,Andrews McMeel Publishing,2014.0,Kids,4.75,English,2014-04-01,3349,0.0,0.0
Justice Bao: The Case of the Missing Coins,Catherine Khoo, Paul Courtenay Hyu,Aoudio book בנוסף Digital bookי,Storyside,2020.0,Kids,4.64,English,2020-12-30,884,9.0,0.0
Tokoyo: The Tomb of the Sea Serpent,Catherine Khoo, Tina Chiang,Aoudio book בנוסף Digital bookי,Storyside,2020.0,Kids,4.09,English,2020-12-30,884,6.0,0.0
The Crane and The Crab,SR Nathan, Paul Courtenay Hyu,Aoudio book בנוסף Digital bookי,Storyside,2021.0,Kids,4.61,English,2021-01-21,862,5.0,0.0
אמת או חובה,לימור טלמור, ירדן אורלובסקי,Aoudio book בנוסף Digital bookי,Storyside,2021.0,Kids,3.75,Hebrew,2021-03-29,795,42.0,7.0
המגדל של גוסטב,מאיה גז, מאיה גז,Aoudio book בנוסף Digital bookי,Storyside,2021.0,Kids,3.33,Hebrew,2021-03-29,795,15.0,0.0
ממלכת יוריקה,אופיר גוטמן, גיא נובוטני,Aoudio book בנוסף Digital bookי,Storyside,2021.0,Kids,4.24,Hebrew,2021-03-29,795,13.0,2.0
נל ומסיבת יום ההולדת,אוש לון, אורנה כץ,Aoudio book,Storyside,2021.0,Kids,0.0,Hebrew,2021-03-29,795,3.0,2.0
סוכנות בילוש מספר 2: מבצע ענן רעם ומבצע האיש בשחור,ירן ליאר הורסט, אביה שפיצר,Aoudio book,Storyside,2021.0,Kids,4.0,Hebrew,2021-03-29,795,33.0,1.0
סופי והפינגווינים,אדוורד ואן דה ונדל, נתלי פיינשטיין,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,795,58.0,3.0
איפה הדב?,ג׳ונתן בנטלי, ירדן אורלובסקי,Aoudio book,Storyside,2021.0,Kids,4.67,Hebrew,2021-03-29,795,1.0,0.0
בבה,רונית חכם, רונית חכם,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,795,3.0,0.0
הדב והפסנתר,דיויד ליצ׳פילד, אביה שפיצר,Aoudio book,Storyside,2021.0,Kids,4.36,Hebrew,2021-03-29,795,5.0,0.0
כמוך בדיוק,ג׳אן פירנלי, אביה שפיצר,Aoudio book,Storyside,2021.0,Kids,4.64,Hebrew,2021-03-29,795,6.0,0.0
לזזה יום הולדת,רונית חכם, רונית חכם,Aoudio book,Storyside,2021.0,Kids,3.33,Hebrew,2021-03-29,795,4.0,0.0
סוד החיות הקסומות - כיבוי אורות,מרגיט אאואר, ירדן אורלובסקי,Aoudio book בנוסף Digital bookי,Storyside,2021.0,Kids,4.9,Hebrew,2021-03-29,795,19.0,3.0
פולי שלוטרמוץ,לוסי אסטנר, אביה שפיצר,Aoudio book בנוסף Digital bookי,Storyside,2021.0,Kids,4.78,Hebrew,2021-03-29,795,26.0,4.0
פיתה,רונית חכם, רונית חכם,Aoudio book,Storyside,2021.0,Kids,4.0,Hebrew,2021-03-29,795,2.0,0.0
נל והכתה החדשה,אוש לון, אורנה כץ,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,795,16.0,2.0
עץ הקסמים (1) - הכסא האדום,אנדז'יי מלשקה, אנדז'יי מלשקה,Aoudio book,Storyside,2021.0,Kids,4.86,Hebrew,2021-03-29,795,33.0,3.0
עץ הקסמים (3) - הענק,אנדז'יי מלשקה, ניר שאולוף,Aoudio book,Storyside,2021.0,Kids,4.29,Hebrew,2021-04-05,788,36.0,6.0
עץ הקסמים (2) - סוד הגשר,אנדז'יי מלשקה, ניר שאולוף,Aoudio book,Storyside,2021.0,Kids,4.73,Hebrew,2021-03-29,795,53.0,4.0
חבורת כוח המוח (11) והמלכודת בטיול השנתי,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.8,Hebrew,2021-03-29,795,31.0,1.0
חבורת כוח המוח (16) - מסתורין בפינת החי,זוהר אביב, נועה לפידות,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-03-29,795,10.0,2.0
חבורת כוח המוח (1) ופרשת הגנבות בכיתה,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.79,Hebrew,2021-03-29,795,16.0,2.0
חבורת כוח המוח (18) - נלחמים בשד האלימות,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.8,Hebrew,2021-03-29,795,17.0,2.0
חבורת כוח המוח (2) והבלגן בחדר המנהלת,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.6,Hebrew,2021-03-29,795,15.0,2.0
חבורת כוח המוח (21) - והסודות הגנובים,זוהר אביב, נועה לפידות,Aoudio book,Storyside,2021.0,Kids,4.85,Hebrew,2021-03-29,795,23.0,2.0
יד הפלא (11) - חבר אמת,זוהר אביב, נועה לפידות,Aoudio book,Storyside,2021.0,Kids,4.5,Hebrew,2021-03-29,795,46.0,1.0
חבורת כוח המוח (3) והתעלומה באולם הספורט,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.31,Hebrew,2021-03-29,795,22.0,2.0
יד הפלא (10) לחם מזהב,זוהר אביב, נועה לפידות,Aoudio book,Storyside,2021.0,Kids,4.94,Hebrew,2021-03-29,795,2.0,0.0
יד הפלא (3) נגד תאונות,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.76,Hebrew,2021-03-29,795,12.0,2.0
יד הפלא (6) סוד הכוח,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.69,Hebrew,2021-03-29,795,12.0,2.0
יהלומים באקווריום,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.0,Hebrew,2021-03-29,795,1.0,2.0
מסע מצמרר 8 - סנדי קראש,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.25,Hebrew,2021-03-29,795,55.0,1.0
מסע מצמרר (3) - במשחק מחשב,זוהר אביב, מאיה לוי,Aoudio book,Storyside,2021.0,Kids,4.12,Hebrew,2021-03-29,795,21.0,2.0
דובים לא מפחדים משום דבר,אליזבת דייל, אביה שפיצר,Aoudio book,Storyside,2021.0,Kids,4.39,Hebrew,2021-03-29,795,8.0,0.0
זאתי,מרים רות, ירדן אורלובסקי,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,795,7.0,0.0
בולו גולו לא רוצה לחפוף,מיכל שלו, נוגה אלגום,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,795,8.0,0.0
בולו גולו לא רוצה לישון,מיכל שלו, נוגה אלגום,Aoudio book,Storyside,2021.0,Kids,4.0,Hebrew,2021-03-29,795,9.0,0.0
בוקר טוב גדליהו,שלומית כהן-אסיף, אוסנת וישינסקי,Aoudio book,Storyside,2021.0,Kids,3.0,Hebrew,2021-03-29,795,5.0,0.0
הארנב ממושי,שלומית כהן-אסיף, מיכל שגיא ושלומית כהן אסיף,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,795,7.0,0.0
מסיבה בגן העכברים,שלומית כהן-אסיף, מיכל שגיא ושלומית כהן אסיף,Aoudio book,Storyside,2021.0,Kids,0.0,Hebrew,2021-03-29,795,9.0,0.0
חבורת כוח המוח (4) ופרשת הכלבה החטופה,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.33,Hebrew,2021-03-29,795,6.0,2.0
ניקה שתיקה,דורית אורגד, דורית אורגד,Aoudio book,Storyside,2021.0,Kids,4.0,Hebrew,2021-03-29,795,8.0,0.0
חבורת כוח המוח (12) בעקבות התלמיד שנעלם,זוהר אביב, זוהר אביב,Aoudio book,Storyside,2021.0,Kids,4.56,Hebrew,2021-05-09,754,11.0,2.0
הסיפור של אליעזר בן יהודה,תמי שם טוב, שירלי סומק,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-03-29,795,28.0,0.0
הסיפור המושלם 4 - הנבואה המונגולית,אלדד אילני, אלדד אילני,Aoudio book,Storyside,2021.0,Kids,4.5,Hebrew,2021-03-29,795,34.0,1.0
Как Йойо встретил лисёнка,Фиона Ремпт, Николь Плиева,Aoudio book,Storytel Original,2021.0,Kids,4.77,Russian,2021-04-02,791,11.0,0.0
חנות המילים של נעם,רוביק רוזנטל, רוביק רוזנטל,Aoudio book,Storyside,2021.0,Kids,3.0,Hebrew,2021-03-29,795,13.0,0.0
מלחמת האותיות,רוביק רוזנטל, רוביק רוזנטל,Aoudio book,Storyside,2021.0,Kids,0.0,Hebrew,2021-03-29,795,15.0,1.0
מסע מצמרר (7) - נולד ל... ל... לשיר,זוהר אביב, מאיה לוי,Aoudio book,Storyside,2021.0,Kids,4.6,Hebrew,2021-03-29,795,54.0,2.0
כראמל (5) היהלום האבוד,מאירה ברנע גולדברג, תומר שרון,Aoudio book,Storyside,2021.0,Kids,4.83,Hebrew,2021-03-29,795,40.0,5.0
והילד הזה הוא אני: אוסף ראשון,יהודה אטלס, מיכל אטלס,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-04-11,782,42.0,0.0
ממלכת שטות וממלכת רצינות,תמר בראון אלקלס, מאיה לוי,Aoudio book,Storyside,2021.0,Kids,4.29,Hebrew,2021-04-11,782,23.0,0.0
איך האדם הקדמון המציא לגמרי במקרה את הקבאב הרומני,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.58,Hebrew,2021-04-27,766,7.0,0.0
גומות החן של זוהר,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.44,Hebrew,2021-04-27,766,10.0,0.0
הקטר שרצה לנסוע לרומא,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-04-27,766,12.0,0.0
וניל על המצח ותות על האף,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,4.65,Hebrew,2021-04-27,766,5.0,0.0
פנדה יוצאת למרעה,מאיר שלו, מאיר שלו,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-04-27,766,12.0,0.0
איתמר פוגש ארנב,דויד גרוסמן, דליה שימקו,Aoudio book,Storyside,2021.0,Kids,4.72,Hebrew,2021-04-27,766,7.0,0.0
איתמר ציד החלומות,דויד גרוסמן, דליה שימקו,Aoudio book,Storyside,2021.0,Kids,4.76,Hebrew,2021-04-27,766,9.0,0.0
בבה תותי,דויד גרוסמן, עדי לב,Aoudio book,Storyside,2021.0,Kids,4.25,Hebrew,2021-04-27,766,5.0,0.0
רותי תישן ותישן,דויד גרוסמן, דליה שימקו,Aoudio book,Storyside,2021.0,Kids,4.67,Hebrew,2021-04-27,766,5.0,0.0
השפה המיחדת של אורי,דויד גרוסמן, תמר עמית-יוסף,Aoudio book,Storyside,2021.0,Kids,3.5,Hebrew,2021-04-27,766,8.0,0.0
החברה הסודית של רחלי,דויד גרוסמן, תמר עמית-יוסף,Aoudio book,Storyside,2021.0,Kids,4.25,Hebrew,2021-05-03,760,7.0,0.0
אריה בלילות,מאיר שלו, איל קיציס,Aoudio book,Storyside,2021.0,Kids,4.44,Hebrew,2021-05-03,760,9.0,0.0
ככה זה בעברית,דתיה בן דור, דתיה בן דור,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-05-03,760,25.0,0.0
גילגמש הצעיר (2) והמסע לשאול,שירלי גרץ, צביקה גרץ,Aoudio book,Storyside,2021.0,Kids,4.33,Hebrew,2021-05-03,760,10.0,1.0
גילגמש הצעיר (1) והגן המכושף,שירלי גרץ, צביקה גרץ,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-05-03,760,8.0,1.0
גילגמש הצעיר (3) וחוטף הגורזלים,שירלי גרץ, צביקה גרץ,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-05-23,740,55.0,1.0
הבלגן שלי,טל ניצן, טל ניצן,Aoudio book,Storyside,2021.0,Kids,4.5,Hebrew,2021-05-03,760,1.0,0.0
שעון הקסמים,סיגלית דיל, סיגלית דיל,Aoudio book,Storyside,2021.0,Kids,4.75,Hebrew,2021-05-03,760,21.0,0.0
חתול בגשם,עדולה, עדולה,Aoudio book,Storyside,2021.0,Kids,5.0,Hebrew,2021-05-03,760,17.0,0.0
הממלכה שמתחת לשולחן,חוה חבושי, רותם שפי,Aoudio book,Storyside,2021.0,Kids,4.67,Hebrew,2021-10-05,605,9.0,0.0
